  2455260.86564   16.144    0.006
  2455261.80049   16.153    0.007
  2455262.83892   16.159    0.013
  2455264.82358   16.177    0.007
  2455264.89396   16.172    0.006
  2455265.79959   16.178    0.006
  2455266.78766   16.187    0.007
  2455267.82947   16.186    0.006
  2455268.80072   16.196    0.007
  2455269.79560   16.207    0.006
  2455270.83998   16.213    0.006
  2455271.79506   16.215    0.006
  2455272.80188   16.220    0.007
  2455273.85651   16.221    0.006
  2455274.80524   16.225    0.007
  2455275.79097   16.234    0.007
  2455276.82588   16.230    0.006
  2455277.79203   16.236    0.007
  2455278.80206   16.241    0.007
  2455279.80331   16.245    0.008
  2455280.85489   16.266    0.006
  2455281.78982   16.272    0.006
  2455282.77033   16.264    0.007
  2455282.91517   16.277    0.007
  2455283.77146   16.256    0.007
  2455284.77349   16.263    0.007
  2455285.76916   16.264    0.008
  2455285.89857   16.278    0.008
  2455286.76036   16.274    0.008
  2455287.82998   16.277    0.007
  2455288.76334   16.267    0.007
  2455292.83350   16.296    0.010
  2455293.84143   16.306    0.007
  2455294.74768   16.292    0.007
  2455294.78506   16.305    0.006
  2455294.82228   16.290    0.006
  2455294.85235   16.308    0.006
  2455294.89264   16.303    0.006
  2455295.74866   16.296    0.007
  2455295.78703   16.303    0.006
  2455295.82547   16.314    0.006
  2455295.86340   16.318    0.006
  2455295.90300   16.326    0.006
  2455296.79292   16.320    0.006
  2455296.82737   16.310    0.006
  2455296.86478   16.320    0.006
  2455296.90490   16.312    0.007
  2455297.78604   16.313    0.007
  2455297.82407   16.318    0.006
  2455297.86187   16.329    0.006
  2455297.90097   16.315    0.006
  2455298.78694   16.321    0.007
  2455298.82479   16.312    0.007
  2455298.86272   16.314    0.006
  2455298.90222   16.320    0.006
  2455299.77139   16.314    0.006
  2455299.88578   16.321    0.006
  2455300.84253   16.312    0.007
  2455300.88222   16.320    0.007
  2455300.92108   16.333    0.007
  2455301.77600   16.322    0.007
  2455301.81335   16.331    0.006
  2455301.85087   16.337    0.007
  2455301.89114   16.335    0.007
  2455303.89874   16.322    0.006
  2455304.73639   16.330    0.009
  2455304.77572   16.340    0.007
  2455306.70912   16.338    0.007
  2455306.77322   16.344    0.007
